ROW_NUM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO,FARM_LOCPLC,k,g,f
12749,강원도,춘천시,남산면,관상조,2,강원도 춘천시 남산면,"('37.79186457822', '127.646194579037')",37.79186457822,127.646194579037
12750,경상남도,남해군,창선면,사슴,1,경상남도 남해군 창선면,"('34.857758551403', '128.012143306032')",34.857758551403,128.012143306032
12751,경상북도,영천시,대창면,칠면조,1,경상북도 영천시 대창면,"('35.8759728203941', '128.894690198585')",35.8759728203941,128.894690198585
12752,울산광역시,울주군,두동면,산양,1,울산광역시 울주군 두동면,"('35.6542688430378', '129.201164555037')",35.6542688430378,129.201164555037
12753,전라남도,목포시,석현동,염소,1,전라남도 목포시 석현동,"('34.8244020215185', '126.423020388534')",34.8244020215185,126.423020388534
12754,충청남도,청양군,청남면,오리,3,충청남도 청양군 청남면,"('36.3524214833312', '126.952210775458')",36.3524214833312,126.952210775458
12755,경상북도,포항시 북구,신광면,돼지,3,경상북도 포항시 북구 신광면,"('36.1301200707693', '129.262971202396')",36.1301200707693,129.262971202396
12756,전라북도,장수군,천천면,사슴,4,전라북도 장수군 천천면,"('35.7334622298528', '127.532329485553')",35.7334622298528,127.532329485553
12757,전라북도,김제시,만경읍,닭,4,전라북도 김제시 만경읍,"('35.8543948305221', '126.820018304837')",35.8543948305221,126.820018304837
12758,충청남도,천안시 동남구,안서동,염소,1,충청남도 천안시 동남구 안서동,"('36.8357590197938', '127.191240628125')",36.8357590197938,127.191240628125
12759,전라남도,담양군,창평면,꿀벌,3,전라남도 담양군 창평면,"('35.2389425945341', '127.019001998481')",35.2389425945341,127.019001998481
12760,전라북도,진안군,부귀면,관상조,1,전라북도 진안군 부귀면,"('35.8373269991001', '127.360332864434')",35.8373269991001,127.360332864434
12761,제주특별자치도,제주시,오등동,돼지,1,제주특별자치도 제주시 오등동,"('33.443036127736', '126.54068535707')",33.443036127736,126.54068535707
12762,전라북도,김제시,황산면,기러기,2,전라북도 김제시 황산면,"('35.7945496933633', '126.942630824358')",35.7945496933633,126.942630824358
12763,전라북도,김제시,황산면,거위,1,전라북도 김제시 황산면,"('35.7945496933633', '126.942630824358')",35.7945496933633,126.942630824358
12764,전라남도,진도군,고군면,오리,3,전라남도 진도군 고군면,"('34.4904769630983', '126.343006604014')",34.4904769630983,126.343006604014
12765,전라남도,고흥군,도덕면,돼지,2,전라남도 고흥군 도덕면,"('34.5666780226183', '127.177968403828')",34.5666780226183,127.177968403828
