ROW_NUM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO,FARM_LOCPLC
7040,경상북도,경주시,강동면,닭,38,경상북도 경주시 강동면
7041,경기도,동두천시,상패동,돼지,10,경기도 동두천시 상패동
7042,경상남도,함양군,백전면,닭,41,경상남도 함양군 백전면
7043,경상북도,고령군,다산면,염소,12,경상북도 고령군 다산면
7044,경상남도,거창군,가조면,닭,73,경상남도 거창군 가조면
7045,경상북도,영주시,부석면,닭,25,경상북도 영주시 부석면
7046,경기도,가평군,북면,닭,17,경기도 가평군 북면
7047,경상북도,봉화군,명호면,닭,50,경상북도 봉화군 명호면
7048,충청남도,당진시,신평면,거위,2,충청남도 당진시 신평면
7049,경상북도,청도군,각북면,닭,6,경상북도 청도군 각북면
7050,경상북도,울진군,금강송면,닭,23,경상북도 울진군 금강송면
7051,충청북도,청원군,옥산면,염소,7,충청북도 청원군 옥산면
7052,강원도,화천군,화천읍,사슴,10,강원도 화천군 화천읍
7053,충청북도,단양군,영춘면,염소,23,충청북도 단양군 영춘면
7054,제주특별자치도,제주시,월평동,말,21,제주특별자치도 제주시 월평동
7055,경기도,남양주시,평내동,닭,5,경기도 남양주시 평내동
7056,경상남도,김해시,생림면,닭,49,경상남도 김해시 생림면
7057,전라남도,함평군,손불면,닭,35,전라남도 함평군 손불면
7058,전라남도,나주시,봉황면,돼지,17,전라남도 나주시 봉황면
7059,충청남도,공주시,신관동,관상조,1,충청남도 공주시 신관동
7060,충청남도,공주시,신관동,칠면조,1,충청남도 공주시 신관동
7061,경상북도,상주시,중동면,염소,9,경상북도 상주시 중동면
7062,전라남도,장흥군,장흥읍,사슴,4,전라남도 장흥군 장흥읍
7063,세종특별자치시,,부강면,꿀벌,1,세종특별자치시 nan 부강면
7064,경상북도,포항시 남구,대송면,거위,2,경상북도 포항시 남구 대송면
7065,충청북도,괴산군,사리면,돼지,13,충청북도 괴산군 사리면
7066,경기도,양주시,장흥면,닭,5,경기도 양주시 장흥면
7067,경상북도,경주시,건천읍,닭,45,경상북도 경주시 건천읍
7068,전라북도,익산시,팔봉동,닭,1,전라북도 익산시 팔봉동
7069,경기도,화성시,서신면,토끼,3,경기도 화성시 서신면
7070,강원도,춘천시,동면,닭,82,강원도 춘천시 동면
7071,강원도,양양군,강현면,닭,20,강원도 양양군 강현면
7072,경상남도,창원시 마산회원구,내서읍,닭,19,경상남도 창원시 마산회원구 내서읍
7073,충청북도,제천시,왕암동,염소,1,충청북도 제천시 왕암동
7074,전라남도,순천시,별량면,염소,20,전라남도 순천시 별량면
7075,충청북도,괴산군,칠성면,염소,6,충청북도 괴산군 칠성면
7076,경상북도,영양군,수비면,닭,9,경상북도 영양군 수비면
7077,대구광역시,달성군,가창면,거위,4,대구광역시 달성군 가창면
7078,강원도,정선군,여량면,꿩,1,강원도 정선군 여량면
7079,충청남도,부여군,임천면,닭,19,충청남도 부여군 임천면
7080,전라북도,부안군,진서면,닭,7,전라북도 부안군 진서면
7081,전라남도,해남군,삼산면,닭,12,전라남도 해남군 삼산면
7082,경상남도,김해시,생림면,꿀벌,2,경상남도 김해시 생림면
7083,경상북도,구미시,고아읍,염소,11,경상북도 구미시 고아읍
7084,강원도,화천군,상서면,닭,69,강원도 화천군 상서면
7085,충청남도,서천군,문산면,닭,42,충청남도 서천군 문산면
7086,전라남도,여수시,돌산읍,기러기,4,전라남도 여수시 돌산읍
7087,전라북도,무주군,무주읍,닭,52,전라북도 무주군 무주읍
7088,충청남도,부여군,홍산면,닭,24,충청남도 부여군 홍산면
7089,경상남도,의령군,봉수면,닭,26,경상남도 의령군 봉수면
7090,경상북도,성주군,선남면,닭,27,경상북도 성주군 선남면
7091,울산광역시,중구,장현동,거위,1,울산광역시 중구 장현동
7092,경상북도,경주시,구정동,닭,2,경상북도 경주시 구정동
7093,전라남도,고흥군,남양면,사슴,8,전라남도 고흥군 남양면
