ROW_NUM,FARM_DISEASE_NM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO
18602,고병원성조류인플루엔자,전라남도,강진군,병영면,닭,3964
18603,고병원성조류인플루엔자,강원도,원주시,봉산동,닭,1985986
18604,,강원도,고성군,현내면,꿀벌,1439
18605,구제역,경상북도,영덕군,남정면,산양,177
18606,고병원성조류인플루엔자,경상북도,문경시,영순면,닭,3564380
18607,고병원성조류인플루엔자,충청남도,홍성군,갈산면,칠면조,207
18608,구제역,경기도,평택시,포승읍,사슴,1539
18609,구제역,제주특별자치도,제주시,애월읍,사슴,297
18610,고병원성조류인플루엔자,제주특별자치도,제주시,애월읍,오리,68873
18611,,경상북도,포항시 북구,신광면,타조,0
18612,구제역,경기도,이천시,백사면,염소,2384
18613,고병원성조류인플루엔자,경기도,이천시,백사면,칠면조,104
18614,고병원성조류인플루엔자,경상남도,합천군,청덕면,닭,15167
18615,구제역,경상북도,영주시,평은면,소,2194
18616,구제역,경상북도,성주군,수륜면,돼지,10713
18617,고병원성조류인플루엔자,강원도,원주시,판부면,닭,79495
18618,구제역,충청북도,충주시,용산동,소,0
18619,구제역,전라북도,군산시,대야면,소,2480
18620,고병원성조류인플루엔자,경기도,여주시,가남읍,메추리,2971530
18621,고병원성조류인플루엔자,강원도,태백시,백산동,거위,45
18622,고병원성조류인플루엔자,경기도,용인시 처인구,원삼면,오리,80242
18623,고병원성조류인플루엔자,경기도,양평군,청운면,닭,10713292
18624,,부산광역시,기장군,장안읍,말,136
18625,,강원도,고성군,죽왕면,꿀벌,2002
18626,고병원성조류인플루엔자,경상남도,고성군,하일면,닭,16929
18627,,경상남도,고성군,하이면,꿀벌,3250
18628,고병원성조류인플루엔자,충청북도,음성군,대소면,오리,377018
18629,구제역,충청남도,청양군,목면,돼지,468044
18630,고병원성조류인플루엔자,경기도,시흥시,목감동,닭,118
18631,고병원성조류인플루엔자,경상남도,의령군,궁류면,거위,44
18632,고병원성조류인플루엔자,경상북도,칠곡군,지천면,거위,22
18633,구제역,경상북도,경주시,인왕동,사슴,67
18634,,경상북도,영덕군,영덕읍,꿀벌,16246
18635,구제역,경상북도,문경시,신기동,염소,2368
18636,,경상남도,진주시,명석면,꿀벌,196
18637,구제역,경상북도,청도군,운문면,염소,4933
18638,구제역,경상북도,경주시,양남면,소,1132
18639,고병원성조류인플루엔자,경상남도,진주시,명석면,오리,122
18640,구제역,전라남도,나주시,금천면,소,1941
18641,구제역,경상북도,경주시,서면,염소,6400
18642,,충청남도,천안시 동남구,병천면,꿀벌,1488
18643,고병원성조류인플루엔자,전라북도,장수군,계남면,오리,547849
18644,구제역,경상북도,영천시,고경면,돼지,2059554
18645,고병원성조류인플루엔자,경상남도,고성군,하이면,닭,268272
18646,구제역,전라남도,담양군,수북면,사슴,4
18647,고병원성조류인플루엔자,충청남도,당진시,석문면,거위,256
18648,구제역,경상남도,거제시,수월동,염소,406
18649,구제역,강원도,삼척시,조비동,염소,25
18650,고병원성조류인플루엔자,경상북도,경산시,유곡동,닭,195
18651,고병원성조류인플루엔자,경상북도,김천시,감문면,칠면조,479
18652,,경상북도,영천시,청통면,토끼,242
18653,고병원성조류인플루엔자,경상북도,영천시,청통면,오리,31
18654,구제역,강원도,원주시,흥업면,돼지,40
18655,고병원성조류인플루엔자,강원도,춘천시,서면,거위,151
18656,구제역,충청남도,아산시,둔포면,염소,1872
18657,구제역,부산광역시,강서구,녹산동,염소,514
18658,고병원성조류인플루엔자,강원도,속초시,조양동,닭,825
18659,고병원성조류인플루엔자,강원도,강릉시,저동,닭,1469
18660,고병원성조류인플루엔자,전라남도,영광군,군서면,오리,45
18661,,경상남도,합천군,대병면,꿀벌,20890
18662,고병원성조류인플루엔자,충청북도,제천시,송학면,오리,82
18663,고병원성조류인플루엔자,전라남도,화순군,화순읍,거위,422
18664,구제역,경상남도,창원시 성산구,안민동,염소,636
18665,구제역,강원도,강릉시,연곡면,산양,22
18666,,충청북도,단양군,어상천면,토끼,70
18667,구제역,경상북도,봉화군,물야면,염소,19142
18668,구제역,충청북도,영동군,양산면,염소,695
18669,고병원성조류인플루엔자,경기도,양주시,백석읍,칠면조,2
18670,고병원성조류인플루엔자,세종특별자치시,,소정면,거위,11
18671,,세종특별자치시,,소정면,토끼,13
18672,구제역,전라북도,완주군,용진읍,소,1439
18673,구제역,경상북도,성주군,선남면,염소,47338
18674,구제역,전라북도,순창군,구림면,염소,104868
18675,고병원성조류인플루엔자,강원도,인제군,상남면,닭,10966
18676,고병원성조류인플루엔자,대전광역시,유성구,용계동,닭,106428
18677,고병원성조류인플루엔자,경상남도,양산시,호계동,칠면조,43
18678,구제역,전라북도,완주군,화산면,돼지,84752
18679,고병원성조류인플루엔자,충청남도,천안시,성남면,닭,0
18680,고병원성조류인플루엔자,경상남도,남해군,설천면,거위,12
18681,,충청북도,괴산군,소수면,토끼,17
18682,구제역,경상북도,경주시,천북면,염소,992
18683,고병원성조류인플루엔자,충청남도,당진시,우강면,닭,2333074
18684,,경상북도,구미시,장천면,꿀벌,11554
18685,,경상북도,구미시,선산읍,토끼,60
18686,고병원성조류인플루엔자,전라남도,장성군,삼계면,오리,211653
18687,고병원성조류인플루엔자,경기도,양주시,어둔동,닭,15
18688,고병원성조류인플루엔자,전라북도,정읍시,농소동,거위,3
18689,구제역,충청남도,천안시,성환읍,돼지,0
18690,,충청북도,괴산군,사리면,꿀벌,1790
18691,고병원성조류인플루엔자,충청남도,당진시,합덕읍,거위,147
18692,구제역,충청남도,공주시,태봉동,염소,991
18693,고병원성조류인플루엔자,경상북도,영주시,조와동,닭,3498995
18694,,충청남도,홍성군,구항면,꿀벌,8255510
18695,고병원성조류인플루엔자,충청남도,청양군,운곡면,거위,146
18696,,세종특별자치시,,연동면,토끼,36
18697,,경상북도,군위군,우보면,토끼,30
18698,구제역,전라북도,임실군,관촌면,산양,110
18699,구제역,경기도,화성시,배양동,돼지,1
18700,,경상남도,합천군,초계면,꿀벌,2126
18701,고병원성조류인플루엔자,경상남도,김해시,율하동,거위,5
18702,구제역,강원도,홍천군,서면,염소,1147
18703,,부산광역시,기장군,철마면,꿀벌,3814
18704,구제역,강원도,홍천군,서석면,사슴,46
18705,,전라북도,임실군,청웅면,꿀벌,10450
18706,구제역,충청남도,서산시,수석동,염소,207
18707,,충청북도,제천시,봉양읍,토끼,238
18708,구제역,충청북도,괴산군,불정면,사슴,39
18709,,충청북도,청주시 청원구,오창읍,토끼,71
18710,,충청북도,충주시,신니면,토끼,299
18711,고병원성조류인플루엔자,경상남도,밀양시,부북면,칠면조,39
18712,고병원성조류인플루엔자,강원도,횡성군,청일면,꿩,15
18713,구제역,전라남도,나주시,노안면,사슴,928
18714,구제역,충청북도,진천군,진천읍,돼지,938643
18715,고병원성조류인플루엔자,경상북도,김천시,대덕면,거위,0
18716,고병원성조류인플루엔자,충청북도,충주시,안림동,닭,41
18717,구제역,충청남도,청양군,청양읍,염소,2118
18718,구제역,경기도,포천시,군내면,소,1239
18719,,충청북도,청주시 흥덕구,수의동,꿀벌,950
18720,구제역,경상북도,경산시,용성면,돼지,117504
18721,고병원성조류인플루엔자,충청북도,청주시 상당구,문의면,거위,20
18722,구제역,충청북도,진천군,문백면,사슴,59
18723,고병원성조류인플루엔자,충청북도,진천군,문백면,오리,275567
18724,구제역,경상남도,산청군,차황면,사슴,120
18725,고병원성조류인플루엔자,경기도,파주시,조리읍,거위,111
18726,고병원성조류인플루엔자,경상북도,포항시 남구,대송면,닭,16015
18727,구제역,제주특별자치도,제주시,조천읍,염소,7989
18728,구제역,전라남도,담양군,월산면,소,3751
18729,고병원성조류인플루엔자,경기도,수원시 권선구,당수동,거위,2
18730,구제역,세종특별자치시,,금남면,염소,787
18731,구제역,전라남도,순천시,주암면,돼지,171485
18732,고병원성조류인플루엔자,전라북도,익산시,목천동,닭,954
18733,고병원성조류인플루엔자,대구광역시,북구,동호동,닭,2382
18734,고병원성조류인플루엔자,전라남도,함평군,나산면,오리,2291882
18735,구제역,충청남도,태안군,태안읍,염소,12908
18736,구제역,강원도,양구군,동면,소,1157
18737,고병원성조류인플루엔자,경상북도,군위군,산성면,꿩,8
18738,구제역,경기도,평택시,고덕면,소,4233
18739,고병원성조류인플루엔자,경기도,포천시,화현면,거위,3
18740,구제역,경기도,안성시,금광면,산양,2
18741,구제역,강원도,횡성군,안흥면,사슴,1128
18742,고병원성조류인플루엔자,전라북도,남원시,이백면,닭,5530462
18743,고병원성조류인플루엔자,경기도,화성시,서신면,오리,296
18744,고병원성조류인플루엔자,전라북도,익산시,낭산면,닭,23498452
18745,구제역,경상북도,영천시,북안면,염소,6050
18746,고병원성조류인플루엔자,충청남도,아산시,권곡동,닭,974
18747,고병원성조류인플루엔자,경상북도,경주시,천북면,칠면조,10
18748,고병원성조류인플루엔자,충청북도,단양군,적성면,거위,16
18749,구제역,충청북도,청원군,내수읍,돼지,1787
18750,구제역,충청북도,청주시 흥덕구,성화동,염소,0
18751,,강원도,횡성군,공근면,말,18
18752,구제역,강원도,인제군,북면,산양,240
18753,구제역,충청북도,진천군,이월면,사슴,7
18754,구제역,전라남도,나주시,문평면,염소,8990
18755,고병원성조류인플루엔자,전라북도,임실군,강진면,닭,723871
18756,구제역,경상남도,창원시 마산합포구,구산면,돼지,2
18757,고병원성조류인플루엔자,강원도,횡성군,강림면,거위,59
18758,구제역,경기도,포천시,영중면,돼지,3380077
18759,구제역,충청남도,예산군,광시면,소,5572
18760,구제역,충청남도,천안시,수신면,돼지,0
18761,구제역,충청남도,아산시,인주면,사슴,260
18762,구제역,전라북도,익산시,함라면,염소,1529
18763,고병원성조류인플루엔자,경상북도,김천시,지좌동,닭,676294
18764,구제역,강원도,원주시,소초면,돼지,1481396
18765,고병원성조류인플루엔자,충청북도,청원군,문의면,닭,591
18766,고병원성조류인플루엔자,전라남도,강진군,군동면,닭,11468
18767,구제역,충청북도,진천군,초평면,사슴,106
18768,고병원성조류인플루엔자,경기도,남양주시,수동면,꿩,124
18769,구제역,경상북도,경주시,현곡면,사슴,744
18770,고병원성조류인플루엔자,강원도,정선군,사북읍,칠면조,36
18771,고병원성조류인플루엔자,강원도,원주시,소초면,거위,266
18772,고병원성조류인플루엔자,경기도,남양주시,수동면,거위,12
18773,구제역,전라남도,나주시,봉황면,염소,20061
18774,고병원성조류인플루엔자,강원도,삼척시,도경동,칠면조,2
18775,고병원성조류인플루엔자,제주특별자치도,제주시,애월읍,칠면조,330
18776,,충청남도,논산시,연무읍,꿀벌,36
18777,구제역,전라북도,임실군,강진면,염소,10902
18778,구제역,경상남도,사천시,와룡동,염소,555
18779,구제역,경상북도,성주군,초전면,돼지,1216266
18780,,전라북도,순창군,구림면,꿀벌,662269
18781,구제역,경기도,안산시 상록구,사사동,염소,172
18782,구제역,경기도,평택시,청북읍,돼지,1657800
18783,고병원성조류인플루엔자,충청북도,옥천군,군북면,오리,40
18784,구제역,경기도,안산시 상록구,양상동,사슴,180
18785,,충청남도,홍성군,구항면,타조,2
18786,고병원성조류인플루엔자,충청남도,공주시,이인면,거위,55
18787,구제역,충청남도,공주시,웅진동,염소,792
18788,,충청북도,괴산군,사리면,말,1
18789,,충청남도,논산시,상월면,꿀벌,1652
18790,고병원성조류인플루엔자,전라북도,완주군,동상면,거위,31
18791,구제역,전라남도,구례군,광의면,돼지,59270
18792,구제역,충청북도,충주시,앙성면,염소,991
18793,고병원성조류인플루엔자,경기도,파주시,광탄면,거위,38
18794,고병원성조류인플루엔자,경상남도,진주시,금곡면,칠면조,35
18795,,전라북도,완주군,동상면,토끼,68
18796,고병원성조류인플루엔자,대구광역시,동구,미대동,거위,12
18797,구제역,경상북도,고령군,운수면,돼지,1239942
18798,,충청남도,부여군,장암면,꿀벌,6001091
18799,,경기도,시흥시,방산동,토끼,2
18800,고병원성조류인플루엔자,충청북도,괴산군,불정면,꿩,44
18801,구제역,충청남도,천안시 동남구,광덕면,사슴,750
18802,고병원성조류인플루엔자,충청남도,천안시,성환읍,메추리,0
18803,,경상북도,영천시,고경면,꿀벌,6162
18804,구제역,충청남도,예산군,응봉면,돼지,356873
18805,구제역,충청남도,공주시,유구읍,염소,4367
18806,고병원성조류인플루엔자,전라북도,남원시,송동면,거위,95
18807,고병원성조류인플루엔자,경기도,안산시 단원구,대부북동,거위,3
18808,고병원성조류인플루엔자,경상북도,성주군,선남면,거위,213
18809,구제역,전라북도,완주군,용진읍,염소,625
18810,구제역,전라남도,영암군,신북면,염소,35098
18811,구제역,충청북도,청주시 상당구,낭성면,돼지,37793
18812,구제역,경상남도,함양군,안의면,사슴,9
18813,고병원성조류인플루엔자,경상남도,산청군,오부면,오리,58
18814,고병원성조류인플루엔자,경상남도,창원시 의창구,대산면,칠면조,98
18815,고병원성조류인플루엔자,전라남도,함평군,손불면,거위,3
18816,고병원성조류인플루엔자,충청북도,옥천군,이원면,칠면조,20
18817,고병원성조류인플루엔자,경상남도,진주시,일반성면,거위,3987
18818,,경기도,평택시,오성면,토끼,42
18819,구제역,경상북도,상주시,화서면,소,1610
18820,구제역,경상북도,상주시,오대동,소,565
18821,구제역,전라남도,담양군,무정면,소,4717
18822,구제역,전라남도,무안군,삼향읍,소,2302
18823,고병원성조류인플루엔자,충청북도,청주시 청원구,오창읍,거위,7
18824,,전라북도,고창군,대산면,토끼,215
18825,,경상남도,산청군,오부면,토끼,45
18826,고병원성조류인플루엔자,강원도,삼척시,마평동,칠면조,16
18827,구제역,충청남도,천안시,풍세면,돼지,0
18828,고병원성조류인플루엔자,충청북도,청주시 흥덕구,수의동,닭,13346
18829,,충청북도,청주시 청원구,내덕동,꿀벌,350
18830,,전라북도,김제시,용지면,토끼,135
18831,,경상북도,포항시 북구,흥해읍,말,3
18832,구제역,전라남도,순천시,서면,염소,3599
18833,고병원성조류인플루엔자,전라남도,순천시,서면,닭,1220964
18834,고병원성조류인플루엔자,경상남도,창원시 마산회원구,합성동,거위,135
18835,구제역,충청남도,금산군,금성면,염소,4549
18836,고병원성조류인플루엔자,강원도,고성군,죽왕면,칠면조,34
18837,구제역,충청북도,영동군,추풍령면,염소,1099
18838,고병원성조류인플루엔자,충청북도,청주시 흥덕구,지동동,닭,145
18839,구제역,충청남도,태안군,안면읍,소,2633
18840,구제역,경상남도,김해시,응달동,염소,53
18841,고병원성조류인플루엔자,전라남도,고흥군,영남면,닭,2320549
18842,구제역,경상북도,구미시,신동,염소,1149
18843,고병원성조류인플루엔자,경상남도,사천시,축동면,꿩,40
18844,고병원성조류인플루엔자,경상남도,창녕군,창녕읍,칠면조,7
18845,구제역,전라남도,곡성군,목사동면,산양,5
18846,고병원성조류인플루엔자,경상남도,의령군,용덕면,거위,22
18847,,경기도,오산시,수청동,꿀벌,757
18848,고병원성조류인플루엔자,강원도,횡성군,공근면,오리,24
18849,구제역,경상북도,울진군,북면,소,2078
18850,고병원성조류인플루엔자,세종특별자치시,,금남면,오리,731
18851,고병원성조류인플루엔자,경상남도,함양군,서상면,칠면조,16
18852,고병원성조류인플루엔자,전라북도,남원시,운봉읍,오리,189233
18853,구제역,경상남도,함양군,유림면,소,1703
18854,구제역,전라남도,고흥군,동강면,사슴,115
18855,고병원성조류인플루엔자,전라남도,담양군,수북면,오리,8220
18856,구제역,경상남도,합천군,덕곡면,소,696
18857,고병원성조류인플루엔자,경상남도,창원시 진해구,원포동,닭,4364
18858,구제역,충청북도,청주시 흥덕구,지동동,염소,233
18859,고병원성조류인플루엔자,전라북도,부안군,백산면,오리,1063827
18860,구제역,경상남도,산청군,차황면,소,1223
18861,고병원성조류인플루엔자,전라북도,남원시,금지면,거위,40
18862,구제역,경기도,화성시,황계동,사슴,47
18863,,경상북도,구미시,해평면,말,11
18864,고병원성조류인플루엔자,경상남도,사천시,노룡동,닭,1215
18865,고병원성조류인플루엔자,경상남도,김해시,생림면,칠면조,118
18866,고병원성조류인플루엔자,인천광역시,계양구,선주지동,오리,16
18867,구제역,충청남도,논산시,성동면,산양,1
18868,구제역,경상남도,합천군,청덕면,염소,1502
18869,고병원성조류인플루엔자,경상남도,김해시,구산동,칠면조,0
18870,고병원성조류인플루엔자,경상남도,김해시,구산동,닭,1160
18871,,전라남도,고흥군,도화면,꿀벌,700
18872,고병원성조류인플루엔자,충청북도,청주시 흥덕구,강내면,오리,2
18873,고병원성조류인플루엔자,경기도,광주시,목현동,닭,177
18874,고병원성조류인플루엔자,대전광역시,대덕구,미호동,닭,1957
18875,고병원성조류인플루엔자,충청남도,홍성군,홍성읍,오리,232
18876,구제역,전라남도,곡성군,삼기면,돼지,70196
18877,고병원성조류인플루엔자,경기도,성남시 분당구,금곡동,닭,904
18878,구제역,강원도,횡성군,횡성읍,사슴,6
